Region,Elevation ,Eofbase,DOC
Sierra Nevada,2900,2700,0.584273408
Sierra Nevada,3440,3240,1.059983615
Sierra Nevada,3212,3012,0.374876406
Sierra Nevada,3211,3011,0.545798145
Sierra Nevada,3210,3010,0.624650319
Sierra Nevada,3151,2951,0.631224232
Sierra Nevada,3083.052,2883.052,0.29281602
Sierra Nevada,3397,3197,0.54
Sierra Nevada,3397,3197,0.346153131
Sierra Nevada,3397,3197,0.580553131
Sierra Nevada,3548,3348,0.34426771
Sierra Nevada,3342,3142,2.648769449
Sierra Nevada,2663,2463,0.229145797
Sierra Nevada,3280,3080,0.71276945
Sierra Nevada,3353,3153,0.506091189
Sierra Nevada,3303,3103,0.37276945
Sierra Nevada,3328,3128,0.581082493
Sierra Nevada,3292,3092,0.53224771
Sierra Nevada,3260,3060,0.711239015
Sierra Nevada,3280,3080,0.562752058
Sierra Nevada,3261,3061,0.663621623
Sierra Nevada,3225,3025,0.814439015
Sierra Nevada,3225,3025,0.846612928
Sierra Nevada,3200,3000,0.62224202
Sierra Nevada,3200,3000,0.52224202
Sierra Nevada,3462,3262,0.386285102
Sierra Nevada,1554,1354,3.94
Sierra Nevada,1554,1354,2.537486891
Sierra Nevada,1554,1354,2.719059925
Sierra Nevada,2871,2671,0.698783616
Sierra Nevada,3246.12,3046.12,0.609958877
Sierra Nevada,2727,2527,1.049547252
Sierra Nevada,2750,2550,1.147401797
Sierra Nevada,2813,2613,0.89572907
Sierra Nevada,3219,3019,0.884197576
Sierra Nevada,3407,3207,0.35
Sierra Nevada,3419,3219,0.174117434
Sierra Nevada,3936,3736,1.030563979
Sierra Nevada,3830,3630,1.131618525
Sierra Nevada,3810,3610,1.383618525
Sierra Nevada,3730,3530,1.767254888
Sierra Nevada,3706,3506,1.421800343
Sierra Nevada,3530,3330,1.408345797
Sierra Nevada,2424.684,2224.684,0.751654888
Sierra Nevada,3145.536,2945.536,0.284887448
Sierra Nevada,3163.824,2963.824,11.84370888
Sierra Nevada,3133.344,2933.344,0.331351734
Sierra Nevada,2991.612,2791.612,0.91706602
Sierra Nevada,3483,3283,2.71450858
Cascades,1574,1574,0.5
Cascades,1574,1574,0.4
Cascades,1321,1321,0.3
Cascades,1292,1292,2.2
Cascades,1276,1276,0.3
Cascades,1255,1255,2.2
Cascades,1253,1253,1.8
Cascades,1031,1031,0.6
Cascades,847,847,2.2
Cascades,843,843,4.1
Cascades,708,708,2
Cascades,606,606,5.1
Cascades,593,593,1.5
Cascades,1336,1336,2.8
