lake.ID,lake.name,region,temperature,fish_PA,stocking,elevation,max_depth,area,richness,fish_PA_bin
214,Morning Glory (upper),YOHO,5.7,Present,Stocked,2006,7,1.7,1.5,1
215,Morning Glory (middle),YOHO,7.2,Present,Stocked,1986,2.5,1.1,1,1
216,O'Hara Lake,YOHO,7.114285714,Present,Stocked,2014,38.1,34.4,2.3,1
218,Ross Lake,YOHO,7.4,Present,Stocked,1746,21.5,6,3,1
219,McArthur Lake,YOHO,5.9,Present,Stocked,2240,84.4,77,2.5,1
220,Sherbrooke Lake,YOHO,9.22,Present,Stocked,1803,12,35,3.5,1
222,Hamilton Lake,YOHO,10.4,Absent,No Record,2160,12.2,5,2.666666667,0
225,Amiskwi Lake,YOHO,11,Absent,No Record,2088,9.8,6.2,2.333333333,0
226,Emerald Lake,YOHO,12.1375,Present,Stocked,1310,28,116,3.25,1
231,Narao Lake (north),YOHO,6.3,Present,Stocked,1721,2,3,7.5,1
233,Linda Lake,YOHO,7.55,Present,Stocked,2080,12,4,2,1
234,Sink Lake,YOHO,10.34,Present,Stocked,1622,2,5,5.5,1
236,Opabin Lake (upper),YOHO,5.7875,Absent,No Record,2280,12.3,3.1,1.866666667,0
237,Oesa Lake,YOHO,6.4,Absent,Historically,2285,35.4,16.1,1.833333333,0
238,Duchesnay Lake,YOHO,17.9,Present,Stocked,1595,1,3.5,4.2,1
239,Wapta Lake,YOHO,7.133333333,Present,Stocked,1595,8.2,24.1,2.75,1
242,Narao Lake (south),YOHO,6.966666667,Present,Stocked,1718,6.3,0.7,7.5,1
246,Gillespie,YUK NORTH,7,Absent,No Record,1370,22.3,63,2,0
247,Margaret,YUK NORTH,15,Present,No Record,490,26,450,8,1
248,Pinguicula,YUK NORTH,11.1,Present,No Record,914,12.2,113,4,1
249,Bonnet Plume,YUK NORTH,10.5,Present,No Record,1067,,370,4,1
252,YUK19 (North Fork),YUK NORTH,13.95,Present,No Record,1128,3.8,20.4,3.5,1
254,YUK21 (Chapman),YUK NORTH,16,Present,No Record,1006,3.8,144,4.5,1
255,Elliot,YUK NORTH,12.7,Present,No Record,1011,22,113,2,1
256,Frances,YUK SOUTH,16.5,Present,No Record,774,18,10610,6,1
257,Finlayson,YUK SOUTH,14.3,Present,No Record,946,11.3,1990,5,1
258,Watson,YUK SOUTH,17.4,Present,No Record,680,19.8,1430,6,1
265,YUK13,YUK NORTH,20.8,Present,Stocked,701,10.1,10.1,3,1
266,McQuesten,YUK NORTH,15.8,Present,No Record,658.5,8,1300,5,1
267,Hanson N,YUK NORTH,19.2,Present,No Record,677,,100,4,1
268,Hanson S,YUK NORTH,16.45,Present,No Record,686,33,320,6,1
269,YUK16 (Barlow),YUK NORTH,19,Present,No Record,610,5,80.3,4.5,1
270,Reid,YUK NORTH,17,Present,No Record,530,15.5,1480,4,1
271,Janet,YUK NORTH,19,Present,No Record,572,103,1720,7,1
273,Minto,YUK NORTH,14.05,Present,No Record,683,33,430,4.5,1
275,Mayo,YUK NORTH,14.6,Present,No Record,671,,9490,4,1
277,Ethel,YUK NORTH,9.4,Present,No Record,764,45,4100,4,1
278,Ladue,YUK NORTH,18.5,Present,No Record,685,24,240,4,1
279,Kathleen Lakes (Main),YUK NORTH,19.8,Present,No Record,706,60,450,6,1
280,Clark,YUK NORTH,17.6,Present,No Record,656,23,300,8,1
281,Kluane,YUK SOUTH,11.55,Present,No Record,781,82,40950,1.666666667,1
282,Jackfish,YUK SOUTH,16,Present,No Record,801,17,170,7,1
285,Diamain,YUK NORTH,12.625,Absent,No Record,496,25,1880,4.5,0
287,Tatlmain,YUK NORTH,12.5,Present,No Record,558,40,3320,7,1
